City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Portland,45.5234,-122.6762,55.0,71,90,3.44,US,1619372464
Omboué,-1.5746,9.2618,80.08,82,35,5.93,GA,1619372947
Kéfalos,36.7453,26.9589,62.6,77,20,13.8,GR,1619372947
Monte Alegre,-2.0078,-54.0692,84.34,73,100,4.25,BR,1619372947
Ossora,59.2353,163.0719,30.31,93,100,4.59,RU,1619372948
Toyooka,35.5333,134.8333,48.07,56,10,11.32,JP,1619372948
Patacamaya,-17.2333,-67.9167,58.39,20,1,13.18,BO,1619372948
Tamandaré,-8.7597,-35.1047,82.87,69,42,8.95,BR,1619372949
Lakeway,30.3638,-97.9796,81.0,47,1,5.75,US,1619372949
Vestmanna,62.1564,-7.1664,46.4,93,100,11.5,FO,1619372949
Porto Belo,-27.1578,-48.5531,79.0,61,20,11.5,BR,1619372950
Niamey,13.5137,2.1098,105.8,11,0,5.75,NE,1619372950
Jalu,29.0331,21.5482,72.27,42,0,15.84,LY,1619372951
Nobeoka,32.5833,131.6667,45.0,75,1,1.01,JP,1619372951
Vadgaon,20.9402,74.8712,93.11,20,80,7.31,IN,1619372951
Arlit,18.7369,7.3853,98.92,8,95,7.87,NE,1619372952
Husainābād,24.5333,84.0167,83.1,10,37,4.5,IN,1619372952
Kano,12.0001,8.5167,100.4,17,20,8.05,NG,1619372952
Yaypan,40.3758,70.8156,72.41,24,20,3.06,UZ,1619372953
Henties Bay,-22.116,14.2845,64.0,87,8,5.99,NA,1619372771
Puerto Madryn,-42.7692,-65.0385,66.96,41,46,21.97,AR,1619372953
Altea,38.5989,-0.0514,60.01,86,77,1.99,ES,1619372954
Beloha,-25.1667,45.05,73.58,80,27,7.65,MG,1619372687
Togur,58.3631,82.8265,34.63,99,99,3.15,RU,1619372954
Abu Dhabi,24.4667,54.3667,87.8,54,90,6.91,AE,1619372942
Sesheke,-17.4759,24.2968,67.35,56,94,4.47,ZM,1619372955
Saquarema,-22.92,-42.5103,84.2,61,20,9.22,BR,1619372955
Dutlwe,-23.9833,23.9,69.49,22,0,3.38,BW,1619372955
Tessalit,20.1986,1.0114,98.24,5,0,7.38,ML,1619372956
Guerrero Negro,27.9769,-114.0611,65.86,60,83,11.63,MX,1619372956
Qui Nhon,13.7667,109.2333,79.02,86,43,1.9,VN,1619372957
Souillac,-20.5167,57.5167,77.0,88,75,12.66,MU,1619372957
Northam,51.0333,-4.2167,51.01,16,2,1.01,GB,1619372957
Tezu,27.9167,96.1667,80.76,20,38,4.38,IN,1619372958
Kudahuvadhoo,2.6708,72.8944,83.43,68,32,6.49,MV,1619372958
Acaraú,-2.8856,-40.12,83.46,72,82,13.35,BR,1619372958
Kalmunai,7.4167,81.8167,79.75,73,29,6.67,LK,1619372784
Cururupu,-1.8283,-44.8683,81.75,80,100,4.74,BR,1619372854
Yantal',56.8471,105.2542,25.05,97,96,4.0,RU,1619372959
Richards Bay,-28.783,32.0377,67.12,86,0,2.98,ZA,1619372936
Oranjemund,-28.55,16.4333,61.97,90,100,2.59,NA,1619372959
Koygorodok,60.445,50.9968,37.78,92,100,8.23,RU,1619372960
Ürümqi,43.801,87.6005,44.6,29,29,2.24,CN,1619372960
Esso,55.9333,158.7,23.22,96,100,3.65,RU,1619372961
Hong Kong,22.2855,114.1577,73.0,92,100,1.99,HK,1619372937
Danville,36.586,-79.395,68.0,48,40,16.11,US,1619372961
Andenes,69.3143,16.1194,35.6,75,90,6.91,NO,1619372961
Muzhi,65.3667,64.6667,37.35,92,100,9.78,RU,1619372962
Redmond,47.674,-122.1215,50.0,83,100,1.01,US,1619372805
Todos Santos,23.45,-110.2167,91.0,10,87,4.0,MX,1619372962
Iqaluit,63.7506,-68.5145,33.8,80,75,3.44,CA,1619372677
La Libertad,-2.2333,-80.9,80.6,74,0,4.61,EC,1619372962
Kushiro,42.975,144.3747,30.96,73,99,10.18,JP,1619372963
Batagay-Alyta,67.8006,130.4114,16.57,87,100,5.97,RU,1619372963
San Benito,36.6166,-121.0844,57.0,68,100,1.01,US,1619372963
Kīhei,20.785,-156.4656,73.4,73,20,11.5,US,1619372765
Chui,-33.6971,-53.4616,68.72,55,18,14.63,UY,1619372964
Cockburn Town,21.4612,-71.1419,82.4,57,40,13.8,TC,1619372964
Saint-Augustin,51.226,-58.6502,46.9,43,70,12.39,CA,1619372935
Qaqortoq,60.7167,-46.0333,51.8,30,75,19.57,GL,1619372965
Kuching,1.55,110.3333,77.0,94,20,2.3,MY,1619372965
Krasne,49.9145,24.6134,42.8,65,0,4.47,UA,1619372965
Mitsamiouli,-11.3847,43.2844,81.01,78,85,9.51,KM,1619372965
Lorengau,-2.0226,147.2712,79.97,79,100,5.75,PG,1619372966
Labuhan,-6.8844,112.2051,78.17,84,59,7.49,ID,1619372851
Sur,22.5667,59.5289,86.2,42,0,8.03,OM,1619372930
Kozhva,65.1073,57.0459,43.3,74,100,11.14,RU,1619372966
Krasnosel'kup,65.7,82.4667,15.69,89,31,5.99,RU,1619372931
Valparaíso,-33.0393,-71.6273,59.0,94,20,5.75,CL,1619372966
Coyhaique,-45.5752,-72.0662,57.2,51,40,9.22,CL,1619372967
Lamu,-2.2717,40.902,81.77,78,75,12.33,KE,1619372967
Tartagal,-22.5164,-63.8013,71.29,60,64,5.32,AR,1619372967
Novo Cruzeiro,-17.4681,-41.8753,85.05,38,5,0.27,BR,1619372967
Saint-Ambroise,48.5501,-71.3324,59.0,47,72,8.05,CA,1619372796
Torbay,47.6666,-52.7314,54.0,37,20,24.16,CA,1619372968
Sambava,-14.2667,50.1667,75.6,85,100,8.5,MG,1619372968
Grindavik,63.8424,-22.4338,46.4,81,75,16.11,IS,1619372909
Ostrovnoy,68.0531,39.5131,34.43,98,100,19.62,RU,1619372968
Djambala,-2.5447,14.7533,72.37,81,60,2.51,CG,1619372969
Channel-Port aux Basques,47.5702,-59.1367,39.99,81,6,7.14,CA,1619372969
Sonoita,31.85,-112.8333,82.0,15,1,3.0,MX,1619372723
Arrondissement de Bastia,42.6667,9.3333,60.8,72,0,3.44,FR,1619372969
Puyang,29.4603,119.8861,60.42,94,86,2.91,CN,1619372970
Tavda,58.0425,65.2726,47.16,48,49,10.31,RU,1619372970
Nālūt,30.3333,10.85,81.5,15,46,11.68,LY,1619372970
Senador Guiomard,-10.1522,-67.7392,80.6,89,75,13.8,BR,1619372970
Gobabis,-22.45,18.9667,68.32,23,0,8.32,NA,1619372971
Chumikan,54.7183,135.315,26.28,89,90,5.75,RU,1619372971
Griffith,41.5284,-87.4237,45.0,61,1,11.5,US,1619372941
Zhurivka,50.5028,31.7849,42.8,81,75,6.4,UA,1619372971
Yatou,37.15,122.3833,49.8,71,100,1.9,CN,1619372972
Graaff-Reinet,-32.2522,24.5308,75.0,31,99,4.07,ZA,1619372972
Tommot,58.9564,126.2925,29.61,96,100,2.73,RU,1619372972
Nacozari,25.3366,-108.2574,86.0,34,67,1.01,MX,1619372973
Ibrā’,22.6906,58.5334,81.34,33,45,4.16,OM,1619372973
Manadhoo,5.7667,73.3833,84.09,72,9,5.37,MV,1619372973
Lasem,-6.6922,111.4527,77.77,84,51,6.38,ID,1619372973
San Patricio,28.017,-97.5169,87.8,42,1,11.5,US,1619372974
Coquimbo,-29.9533,-71.3436,62.6,72,20,11.5,CL,1619372974
Fort-Shevchenko,44.5086,50.263,56.64,76,70,18.99,KZ,1619372974
Pochutla,15.7432,-96.4661,91.0,58,75,11.5,MX,1619372974
Rocha,-34.4833,-54.3333,64.11,83,37,13.35,UY,1619372975
Bathsheba,13.2167,-59.5167,86.0,48,20,23.02,BB,1619372975
Zhangjiakou,40.81,114.8794,53.98,62,81,7.2,CN,1619372975
Muroto-misakicho,33.2833,134.15,52.77,60,4,18.01,JP,1619372975
Tual,-5.6667,132.75,83.86,62,100,6.62,ID,1619372906
Simao,22.7886,100.9748,69.21,52,62,2.62,CN,1619372976
Inza,53.8533,46.3586,38.75,67,42,13.89,RU,1619372976
Mogadishu,2.0371,45.3438,83.66,74,72,14.47,SO,1619372976
Muncar,-8.4333,114.3333,74.3,87,72,3.58,ID,1619372975
Coronado,32.6859,-117.1831,66.0,67,75,8.05,US,1619372751
Buin,-33.7333,-70.75,75.0,33,0,4.61,CL,1619372977
Gumdag,39.2061,54.5906,76.8,35,6,8.08,TM,1619372977
Ushtobe,45.2514,77.9838,56.82,41,100,6.06,KZ,1619372709
Vargashi,55.3556,65.8467,47.28,65,24,10.29,RU,1619372902
Port Augusta,-32.5,137.7667,55.4,88,0,4.61,AU,1619372978
Nizwá,22.9333,57.5333,86.47,16,73,5.12,OM,1619372978
Marsabit,2.3284,37.9899,70.75,59,94,6.78,KE,1619372978
Ajdabiya,30.7554,20.2263,65.44,65,0,21.83,LY,1619372978
Pinheiro,-2.5214,-45.0825,86.09,66,66,4.7,BR,1619372979
Sydney,-33.8679,151.2073,57.99,88,0,6.91,AU,1619372827
Faya,18.3851,42.4509,62.6,59,40,8.05,SA,1619372979
Miles City,46.4083,-105.8406,46.4,66,75,5.75,US,1619372979
Karratha,-20.7377,116.8463,77.81,60,0,5.03,AU,1619372980
Marsá Maţrūḩ,31.3525,27.2453,66.2,77,40,16.11,EG,1619372980
Tracy,37.7397,-121.4252,60.01,73,100,1.99,US,1619372788
Rundu,-17.9333,19.7667,67.32,30,3,4.88,NA,1619372980
Salinópolis,-0.6136,-47.3561,83.26,72,81,8.52,BR,1619372981
Yulara,-25.2406,130.9889,60.8,41,0,11.5,AU,1619372981
Novikovo,51.1537,37.8879,41.77,70,59,7.43,RU,1619372981
Gogrial,8.5332,28.1004,77.54,63,83,7.61,SS,1619372981
Ipoti,7.8738,5.0769,78.4,73,90,5.55,NG,1619372982
Tocopilla,-22.092,-70.1979,70.0,62,11,5.5,CL,1619372879
Goderich,43.7501,-81.7165,37.4,70,100,19.57,CA,1619372965
Balitoc,13.8627,120.6355,78.67,71,7,5.19,PH,1619372982
Santa Cruz de la Sierra,-17.8,-63.1667,77.0,61,75,18.41,BO,1619372704
Ţahţā,26.7693,31.5021,96.8,6,0,6.91,EG,1619372982
Kamaishi,39.2667,141.8833,38.55,63,3,8.75,JP,1619372983
Shache,38.4167,77.2406,64.24,16,20,6.73,CN,1619372983
Umluj,25.0213,37.2685,83.71,46,0,4.43,SA,1619372983
Pauini,-7.7136,-66.9764,94.35,46,50,1.25,BR,1619372911
Nesbyen,60.5681,9.1027,30.0,53,37,1.01,NO,1619372984
Naryan-Mar,67.6713,53.087,38.57,90,99,8.84,RU,1619372984
Kirakira,-10.4544,161.9205,79.2,84,95,4.05,SB,1619372984
Payson,40.0444,-111.7321,66.0,31,90,3.44,US,1619372985
Abu Kamal,34.4506,40.9171,88.99,12,88,13.8,SY,1619372985
Broome,42.2506,-75.833,55.99,71,90,3.44,US,1619372985
Bambous Virieux,-20.3428,57.7575,78.01,88,75,12.66,MU,1619372985
Bajil,15.0584,43.2851,90.59,44,41,2.75,YE,1619372699
Sabang,5.8933,95.3214,82.58,76,93,10.94,ID,1619372986
Mayo,38.8876,-76.5119,63.0,63,90,9.22,US,1619372986
Coromandel,-18.4733,-47.2003,84.94,26,20,8.57,BR,1619372986
Nara,34.6851,135.8049,51.01,37,1,8.7,JP,1619372927
Ust-Tsilma,65.441,52.1498,43.36,82,100,7.38,RU,1619372987
Manokwari,-0.8667,134.0833,78.6,82,99,10.09,ID,1619372987
Bela,25.9333,81.9833,83.68,11,95,5.32,IN,1619372987
Borogontsy,62.6683,131.1683,24.28,98,100,3.6,RU,1619372988
Lismore,-28.8135,153.2773,57.0,94,90,6.91,AU,1619372988
Ulladulla,-35.35,150.4667,52.0,100,3,8.05,AU,1619372988
Guatire,10.4762,-66.5427,87.8,62,20,3.44,VE,1619372988
Katangli,51.7102,143.2326,21.09,84,33,3.89,RU,1619372989
Calabozo,8.9242,-67.4293,98.44,28,73,9.31,VE,1619372989
Palauig,15.435,119.9045,77.22,68,5,6.49,PH,1619372989
Kendari,-3.945,122.4989,74.25,93,48,3.36,ID,1619372989
Pacific Grove,36.6177,-121.9166,59.0,51,75,5.75,US,1619372990
Kenora,49.8167,-94.4337,42.8,28,75,11.5,CA,1619372990
Turbat,26.0023,63.044,84.45,35,96,7.36,PK,1619372973
Toamasina,-18.1667,49.3833,73.4,94,75,5.75,MG,1619372991
Jumla,29.2747,82.1838,47.84,46,21,3.67,NP,1619372991
Luan,46.3592,6.9759,68.0,34,75,12.66,CH,1619372991
Moses Lake,47.1301,-119.2781,55.4,54,1,4.61,US,1619372991
Pontianak,-0.0333,109.3333,75.2,100,75,4.61,ID,1619372992
Murray Bridge,-35.1167,139.2667,55.0,93,0,0.25,AU,1619372712
Port-Gentil,-0.7193,8.7815,86.0,70,20,8.05,GA,1619372962
Otjimbingwe,-22.35,16.1333,76.05,37,26,10.2,NA,1619372992
Bayjī,34.9311,43.487,88.77,12,96,7.07,IQ,1619372992
Rahā,26.2333,92.5167,81.36,23,41,3.76,IN,1619372993
La Palma,33.8464,-118.0467,64.99,67,75,9.22,US,1619372935
Iquitos,-3.7481,-73.2472,87.8,70,40,5.75,PE,1619372993
Shimoda,34.6667,138.95,53.01,50,69,20.15,JP,1619372993
Piranhas,-16.4269,-51.8222,87.64,32,91,4.5,BR,1619372993
Bubaque,11.2833,-15.8333,78.94,65,27,18.86,GW,1619372994
Montepuez,-13.1256,38.9997,68.09,99,89,3.58,MZ,1619372994
Rujewa,-8.7,34.3833,67.96,79,76,8.05,TZ,1619372994
Palmer,42.1584,-72.3287,53.6,76,90,6.91,US,1619372995
Hervey Bay,-25.2986,152.8535,62.01,87,1,4.0,AU,1619372995
Taltal,-25.4,-70.4833,65.68,75,19,4.63,CL,1619372995
Leh,34.1667,77.5833,34.95,29,2,3.87,IN,1619372995
Maués,-3.3836,-57.7186,82.67,86,100,2.46,BR,1619372996
Zhigansk,66.7697,123.3711,32.95,98,100,9.17,RU,1619372996
Dunmore Town,25.5,-76.65,78.75,80,23,14.36,BS,1619372984
Coahuayana Viejo,18.7333,-103.6833,90.79,35,97,7.58,MX,1619372996
Katobu,-4.9408,122.5276,74.52,89,86,3.27,ID,1619372997
Marsh Harbour,26.5412,-77.0636,80.98,67,5,16.33,BS,1619372997
Rapid Valley,44.0625,-103.1463,51.8,50,1,19.57,US,1619372997
Rokupr,8.6717,-12.395,96.24,31,47,2.08,SL,1619372997
Ambanja,-13.6833,48.45,74.68,92,98,3.04,MG,1619372998
Haifa,32.8156,34.9892,69.8,73,0,5.75,IL,1619372998
Camaçari,-12.6975,-38.3242,84.2,65,20,10.36,BR,1619372998
Kholodnyy,62.7167,147.95,-13.74,97,11,1.9,RU,1619372999
Turan,16.0678,108.2208,80.6,94,20,2.3,VN,1619372999
Barra de Tecoanapa,16.5167,-98.75,85.89,63,93,11.43,MX,1619372999
Raudeberg,61.9875,5.1352,42.01,60,28,13.53,NO,1619372999
Prince Rupert,54.3161,-130.3201,51.8,66,1,4.61,CA,1619372744
Bowmore,34.9421,-79.3031,71.6,49,75,12.66,US,1619373000
Sola,-13.8833,167.55,82.51,72,95,4.27,VU,1619372950
Williamsburg,37.2707,-76.7075,63.0,67,75,11.5,US,1619372942
Elliot,-31.3333,27.85,56.66,37,5,4.7,ZA,1619373000
Bria,6.5423,21.9863,71.42,90,88,2.24,CF,1619373001
Severo-Kuril'sk,50.6789,156.125,31.48,97,100,11.18,RU,1619372932
Beringovskiy,63.05,179.3167,30.22,89,100,3.06,RU,1619373001
Kahului,20.8947,-156.47,73.4,73,20,11.5,US,1619372709
Dongsheng,39.8161,109.9776,43.86,89,93,10.47,CN,1619373001
Leningradskiy,69.3833,178.4167,14.54,89,28,2.98,RU,1619372930
Bom Jesus,-9.0744,-44.3586,85.1,61,94,4.68,BR,1619373002
